Quotazioni Immobiliari : Valori di Mercato - Semestre 2023/2 - elaborazione del 12-LUG-24
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E7;VE00001338;5;Negozi;OTTIMO;P;2500;5000;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E7;VE00001338;7;Capannoni tipici;OTTIMO;P;750;1050;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E8;VE00001339;20;Abitazioni civili;NORMALE;P;1000;1200;L;5;7,5;L;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E8;VE00001339;20;Abitazioni civili;SCADENTE; ;800;1050;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E8;VE00001339;20;Abitazioni civili;OTTIMO; ;1300;1700;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E8;VE00001339;21;Abitazioni di tipo economico;OTTIMO; ;1200;1600;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E8;VE00001339;21;Abitazioni di tipo economico;NORMALE;P;950;1100;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E8;VE00001339;1;Ville e Villini;OTTIMO; ;1300;1800;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E8;VE00001339;1;Ville e Villini;NORMALE;P;1000;1300;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E8;VE00001339;5;Negozi;OTTIMO;P;1800;2300;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;E;E8;VE00001339;6;Uffici;OTTIMO;P;1900;2300;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;R;R1;VE00001345;20;Abitazioni civili;OTTIMO; ;1800;2500;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;R;R1;VE00001345;20;Abitazioni civili;NORMALE;P;1500;2300;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;R;R2;VE00001346;20;Abitazioni civili;OTTIMO; ;1800;2500;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;R;R2;VE00001346;20;Abitazioni civili;NORMALE;P;1500;2300;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;R;R3;VE00001352;20;Abitazioni civili;OTTIMO; ;1300;1600;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;R;R3;VE00001352;20;Abitazioni civili;NORMALE;P;1000;1300;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;R;R4;VE00001353;8;Capannoni industriali;OTTIMO;P;610;770;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;R;R6;VE00001926;20;Abitazioni civili;OTTIMO; ;1300;1600;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;R;R6;VE00001926;20;Abitazioni civili;NORMALE;P;700;1300;L;;;;
